country,state,reference,watershed,latitude,longitude,pond_area_m2,sed_vol_m3
USA,CO,Rees et al. 2024,Coal Creek,38.8587172,-107.0958689,177.6,36.92022
USA,CO,Rees et al. 2024,Coal Creek,38.8576345,-107.0942749,1446.2,508.1732
USA,CO,Rees et al. 2024,Coal Creek,38.85756248,-107.0936783,292.37,335.056
USA,CO,Rees et al. 2024,Coal Creek,38.85509055,-107.0915314,191.1,35.76328
USA,CO,Rees et al. 2024,Coal Creek,38.85410507,-107.0891212,228.32,35.40673
USA,CO,Rees et al. 2024,Coal Creek,38.8539305,-107.0875053,1068.87,360.2092
USA,CO,Rees et al. 2024,Coal Creek,38.86178266,-107.0407497,1149.6,445.0232
USA,CO,Rees et al. 2024,Coal Creek,38.85994412,-107.0475742,370.4,40.57572
USA,CO,Rees et al. 2024,Coal Creek,38.86125263,-107.0466415,593.6,104.7182
USA,CO,Rees et al. 2024,Trout Creek,39.08387,-105.096,718.6,86.853
USA,CO,Rees et al. 2024,Trout Creek,39.08673,-105.096,1698,414.7554
USA,CO,Rees et al. 2024,Trout Creek,39.08361,-105.097,143.34,28.9685
USA,CO,Rees et al. 2024,Trout Creek,39.09568,-105.096,534.12,139.8861
USA,CO,Rees et al. 2024,Trout Creek,39.09628,-105.096,1650,646.962
USA,CO,Rees et al. 2024,Trout Creek,39.09656,-105.096,352.5,107.7525
USA,CO,Rees et al. 2024,Trout Creek,39.09693,-105.096,842.8,195.354
USA,CO,Rees et al. 2024,Trout Creek,39.09722,-105.096,918.04,318.268
USA,CO,Rees et al. 2024,Trout Creek,39.09817,-105.097,3167.84,1151.258
USA,CO,Rees et al. 2024,Trout Creek,39.09827,-105.097,270.8,63.69269
USA,CO,Rees et al. 2024,Trout Creek,39.0989,-105.097,2975.6,856.8538
USA,CO,Rees et al. 2024,Trout Creek,39.10017,-105.097,699.52,179.7608
USA,CO,Rees et al. 2024,Trout Creek,39.1026,-105.096,352.96,149.592
USA,CO,Rees et al. 2024,Trout Creek,39.10272,-105.096,324,133.872
USA,CO,Rees et al. 2024,Trout Creek,39.10863,-105.096,1420.64,270.1257
USA,CO,Rees et al. 2024,Trout Creek,39.10951,-105.096,911.8,196.1282
USA,CO,Rees et al. 2024,Trout Creek,39.1129,-105.097,506.34,111.6863
USA,CO,Rees et al. 2024,Trout Creek,39.13734,-105.107,711.6,256.9671
USA,CO,Rees et al. 2024,Trout Creek,39.13833,-105.107,2523.6,1337.13
USA,CO,Rees et al. 2024,Trout Creek,39.13888,-105.107,1334.4,654.324
USA,CO,Rees et al. 2024,Trout Creek,39.14204,-105.107,350,141.17
USA,CO,Rees et al. 2024,Trout Creek,39.14506,-105.108,360,159.244
USA,CO,Rees et al. 2024,Trout Creek,39.14543,-105.108,312.8,75.17
USA,CO,Rees et al. 2024,Trout Creek,39.14573,-105.108,328,109.126
USA,CO,Rees et al. 2024,Trout Creek,39.14626,-105.109,1566.5,826.192
USA,CO,Rees et al. 2024,Trout Creek,39.14692,-105.11,1277.8,351.6278
USA,CO,Rees et al. 2024,Trout Creek,39.14707,-105.11,4874.22,2427.665
USA,CO,Rees et al. 2024,Trout Creek,39.14845,-105.111,1659.52,828.5528
USA,CO,Rees et al. 2024,Trout Creek,39.14848,-105.111,1168.8,590.28
USA,CO,Rees et al. 2024,Trout Creek,39.14993,-105.113,1278.28,695.055
