"SID","sedstorage_y2025_m3","sedstorage_ci_hi_y2025_m3","sedstorage_ci_lo_y2025_m3"
1266,704661.234707922,704661.234707922,704661.234707922
1366,3068430.78111838,3068430.78111838,3068430.78111838
1974,619476.211945577,619476.211945577,619476.211945577
1975,63650.6454136567,63650.6454136567,63650.6454136567
1984,3650890.69258857,3650890.69258857,3650890.69258857
1992,7909865.15996517,7909865.15996517,7909865.15996517
2119,269055.453748107,269055.453748107,269055.453748107
5703,35134906.1029009,35134906.1029009,35134906.1029009
5704,30099086.0213285,30099086.0213285,30099086.0213285
5706,20782009.3614171,20782009.3614171,20782009.3614171
5707,16342562.5973304,16342562.5973304,16342562.5973304
10888,389576.821586154,389576.821586154,389576.821586154
11299,106237302.754398,106237302.754398,106237302.754398
11300,6038053.03998652,6038053.03998652,6038053.03998652
11302,9133003.83258301,9133003.83258301,9133003.83258301
11303,814827.809085727,814827.809085727,814827.809085727
17072,30588510.3743025,30588510.3743025,30588510.3743025
17180,2921681.02236702,2921681.02236702,2921681.02236702
17262,483353.765353743,483353.765353743,483353.765353743
29676,552594.55133079,552594.55133079,552594.55133079
29687,10250543.9573673,10250543.9573673,10250543.9573673
30855,45370.5894525574,45370.5894525574,45370.5894525574
30869,19359.857151497,19359.857151497,19359.857151497
31174,89751679.6001058,89751679.6001058,89751679.6001058
31175,8316591.31799364,8316591.31799364,8316591.31799364
31177,111200265.275561,111200265.275561,111200265.275561
31178,106543225.032494,106543225.032494,106543225.032494
32008,975504.769057257,975504.769057257,975504.769057257
38108,1709209.54723584,14061672,175738.956005324
38119,321144.684245414,3111947.45026867,33141.275637602
38127,10003581.1293431,96923054.0937575,1032485.37045218
38146,2871495.79686392,25162992,297039.993799627
38177,1927075.68968416,18685903.9951784,198739.151968773
38184,2628005.73636793,20475768,270209.115472335
38213,3382234.01697597,32728203.535894,349530.548874868
38295,9090027.87375169,88253588.219637,936263.424666028
38299,16895227.5862635,157885440,1743624.63946832
38340,272653.056673966,2644242.30383985,28113.7962302866
38357,220241.66416639,2133566.84112042,22734.8821231718
38543,336279.46696411,3259961.14376179,34688.7201763313
38579,6614288.27172565,63964774.535576,683951.59146782
38622,2461075.03690771,23907983.6528885,253341.746641126
38633,432962.921991461,4220550.39407515,44415.2715443317
38640,4625336.9906158,44933245.47111,476122.791764819
38653,8653902.54881057,84120180.7882991,890274.23173022
38662,2197515.9492865,17336561.4,225800.953304835
38663,5761872.25092257,23676648.6,592715.637567502
38666,3831343.58586123,32354180.4,394340.136961109
38716,7785263.62345761,75299790.4393596,804920.297029817
38734,312482.00456352,3023002.2333048,32300.6718619882
38796,4451036.22816354,42986602.0763286,460881.357155094
38838,1107595.372737,10718301.6827465,114455.400306857
38887,1468303.69295879,14223191.2478502,151577.497425712
38918,3745883.71781086,16725988.8,385438.393446889
39067,4244828.65765055,41112151.1128341,438278.461357047
39068,11269854.6713901,109153207.435742,1163590.4001174
39070,5625760.92110008,54394516.0634981,581845.160722283
39071,7550876.63272345,63767915.1447212,773840.547634523
39072,1108322.10960257,10715016.4692802,114645.390346915
39073,1869857.48858739,18143172.7078086,192709.791387344
39081,1787353.86418263,16676674,184792.180121372
39467,355443.221925869,3442625.17334618,36698.7045209578
39637,9409161.23088785,90880811.9962947,974158.495331805
39643,3149858.16511656,30412716.1338173,326232.172644363
51364,2301421.68142447,22367048.5548526,236801.102422676
51495,115535094.044697,1139400849.74604,11891152.056998
51579,116313423.821123,277533000,11957599.014289
65399,419828.039520707,4112884.30857156,42854.4956638995
65426,467392.340547831,4595377.74529134,47538.1159310833
65468,4825323.696959,11400000,499055.040169996
77762,17367907.9504667,69512765.4,1793649.65494504
77767,2878270.27824455,17515416,296965.681606246
77772,11373517.5444222,55629948,1173496.93143855
77773,640795.698303089,6252670.39373184,65671.0015252649
77775,5264089.27337622,32810568,543464.642687625
77858,41360907.6963564,401775829.731143,4257908.41278651
77919,116030281.666029,493392000,11962344.0305213
77921,3451339.6307717,33572069.2835163,354811.17194
77922,165966606.513806,1612485654.30806,17082269.4788738
78150,54551520.0189,377444880,5624598.44505992
78151,172551517.2,172551517.2,172551517.2
78152,23499637.3401058,51871534.44,2420543.02032981
78153,2596982.72537996,25235616.324528,267253.994877341
78155,3935917.19291067,38162515.6480736,406375.958321199
78156,53980285.289474,523570298.336562,5565448.70827484
78158,1873390.04130771,18151047.5551797,193354.694058381
78159,2510483.3713939,24295264.8795434,259413.79068281
78161,700084.989474444,6812276.2877041,71946.4349048905
78165,239665.967549847,2350472.03508398,24437.5492004321
78166,5188852.09154212,15048456,535626.742633518
78171,3023175.57947123,16658147.4,311489.189640207
78196,175430088.396112,1703367057.486,18071971.3823576
78331,19805901.7794155,164052840,2044119.75104864
78500,1694919.59860363,16452102.4282688,174613.090226973
78747,968296.350030086,9370382.16776878,100059.720584997
80066,125800.373822184,1229794.67022922,12868.5986668422
80510,137223.338504065,1340194.61370194,14050.3807713326
84289,847164.641575261,8201104.78304047,87511.1279421144
84483,2993110.93642911,28968381.7249119,309258.320428281
84670,1552908.86254475,15072027.811941,160000.098557373
89249,2978438.50978234,28925672.8419965,306685.898198873
89371,741377.047239955,7233617.91236268,75984.0971465838
105317,10233311.4147232,60500000,1058387.92825135
113765,2170649.40873844,18502200,224366.945785544
113788,696450.501066954,6732681.15424997,72043.1117000438
113966,2266703.03829749,21909449.6419129,234508.066053751
114019,355627.738167785,3435864.15157448,36809.1061156709
114068,15046385.2940966,145723169.620824,1553587.60729326
114069,7027713.16024115,70492931.479335,720579.011274826
114070,3427430.85087026,27765676,354610.48635246
114072,5850514.66559078,56749432.3965282,604938.16895175
114074,10051446.5000701,97419738.6311562,1037075.01337372
114080,1273091.19959889,12307170.7993338,131692.427847339
114082,4256089.94276834,41227193.055029,439513.966343343
114332,1876290.93104417,18119409.753327,194292.623537153
117361,3359287.15670686,32608051.481435,346074.349387009
117558,1909085.92221324,18523757.6536275,196753.225049835
117632,822999.859735652,7954151.24504853,85154.1224522906
117676,24772398.8697679,95345537.04,2561244.83979199
119440,59566119.1440422,178702882,6133163.56733328
119448,2320372.57035435,22629305.4213228,237927.27019273
119488,594985.514948247,5750556.87586887,61560.6054578397
119659,462619.024352661,4475474.17130848,47819.8183032831
120048,456291.314295162,4424020.57451848,47061.6625746293
120078,381958.661346502,3710274.63565722,39321.191368296
120079,621531.840854314,6050142.54455014,63850.0376398118
120136,1291474.27086767,12508478.6221602,133342.018857377
120138,3880660.55522151,37543508.2161458,401121.97981476
120139,2020922.14437272,19540243.4976041,209011.024561532
120140,14960555.3544378,125814960,1547320.22522626
120165,1985251.65155165,19283602.3549044,204382.150567743
120196,6157796.41607109,52052856,637131.610542733
120202,1815515.54921872,17587206.271571,187414.456768097
120205,3698870.0630155,21250425,382534.762394954
120234,993789.364883876,9627937.08914989,102578.287810925
120257,8746826.3841362,84779039.4603569,902427.914744142
120260,255570.564731464,2491737.98680207,26213.1547952147
120261,39132495.1914654,380486430.564684,4024722.18953345
120262,9690837.63738062,47242354,1001523.81845499
120263,14288163.0427305,14288163.0427305,14288163.0427305
120264,4039070.84710775,39064129.5687148,417623.366706758
120389,1864882.44202875,18011823.4362351,193083.533985278
120407,1638804.07313253,15948097.3148589,168401.204049183
120888,53957314.3489268,53957314.3489268,53957314.3489268
120977,132020.871295783,132020.871295783,132020.871295783
121005,192423,192423,192423
121006,297268.999391231,297268.999391231,297268.999391231
121147,8837601.66879006,85791673.3700939,912625.596522667
121148,6084512.0625044,6084512.0625044,6084512.0625044
121149,109482617.582514,109482617.582514,109482617.582514
121165,221624.074880453,221624.074880453,221624.074880453
128070,130045.081252602,1143438,13354.3143511276
128736,13562.328852551,19736,1381.07944669376
166914,134765.121870317,2836337.82703403,12569.5457957467
169422,8816.36440924068,91718.5981234531,847.464777993048
188911,0,0,0
202318,193720.413908546,1424672,19856.0621086174
202346,1732296.37493709,4324587.322,178267.226965992
202399,37774.7774707945,366535.879516914,3893.02628394445
202411,186248.399467666,1822190.62538948,19036.6835505221
202703,2267979.77971169,9707502,234508.242624092
206160,461648.237718476,4485870.19935988,47508.9750521505
208824,2273.60219171293,23352.9126758029,221.354269504804
208825,132070.641482363,1308795.92571533,13327.2529344325
208878,325817.285088788,2590312,33066.2578523181
208879,83999.8420231428,493393,8206.83318335966
290043,209543.333100523,2043360.55019782,21488.331289662
290048,440175.058365063,3996475.2,45459.62029692
290050,24943.2485011919,243870.525500631,2551.21296234958
290052,6132.91126543305,60060.471953166,626.245505013768
290054,977633.845792459,2688986.4,100372.696824697
290058,3665675.80918442,9744492,378644.523036665
290059,505523.867858883,1999471.08,52265.2353617917
290061,692562.919617678,2788898.28,71517.2584899766
290062,110370.79180581,1071159.09997679,11372.45782079
290063,155071.648560168,1265550.48,15851.1035657133
290081,26383.3853885467,172687.2,2696.05462959882
290082,78879.0240454872,767006.825633402,8111.92316213151
290089,348671.626112287,3404734.35966136,35706.7218800229
290091,66990.342097114,183788.52,6848.08668721241
290092,1264.02968704948,12443.2974987549,128.404150901503
290093,329630.604811499,724052.76,33875.1586845771
290094,45801.1144181959,80176.2,4718.81423643023
290095,66249.1867944696,170220.24,6783.4861825606
290096,24983.8103148188,209691.6,2549.39088076265
290098,84614.1929302656,821380.902354812,8716.49392469987
290100,482341.779455913,1137268.56,49859.7967895987
290103,33457.4317820645,326150.246914732,3432.15972405549
290110,45794.1005026078,78942.72,4667.62067359918
290112,155424.829197665,532863.36,16026.3602513206
290113,193175.998211604,1224845.64,19911.1193786005
290114,68938.4711224831,675892.002960017,7031.46771953533
290121,72266.0316115464,405814.92,7372.70888861127
290122,345854.798983571,1443171.6,35405.9679107219
290123,22156.9301019477,217209.824990078,2260.16273234888
290125,106673.62071162,476123.28,10871.2802814759
290127,35523.7692241832,344818.911242613,3659.71279053523
290128,4356.14337218902,43192.0265990763,439.340002616876
290137,72280.9523062418,320704.8,7350.14583163806
290142,219687.697266063,2153713.54347647,22409.0545728569
290144,40724.8059484915,228193.8,4163.49482322153
290148,128551.6961572,354008.76,13046.7795301263
290178,44298.625965026,69074.88,4558.18452707193
290180,160897.155471087,312070.44,16551.4236909195
290186,43901.9943393976,98678.4,4508.87380779001
290189,97598.3253451025,161585.88,10045.823671753
290190,303255.069112117,747488.88,31363.4713562349
290202,26175.2635978505,102378.84,2676.95102966411
290203,697885.626898113,986784,71797.2873178904
290213,61794.045200007,122114.52,6338.10636638716
290215,1196625.08018915,1948898.4,122998.205053139
290216,110779.623543204,259030.8,11357.6279289358
290217,601332.712078312,5868493.65795149,61617.3504976884
290222,38045.0514856098,65374.44,3916.14756320915
290223,111174.917876157,214625.52,11461.9732370742
290224,70936.927419005,155418.48,7296.21280140377
290226,111966.598254677,192422.88,11532.0460628081
290227,189020.923934514,1837301.73985173,19446.4027927937
290229,56305.0238020556,106079.28,5767.14448611685
290230,89737.586208568,752422.8,8990.72138458543
290232,63797.1808402361,518061.6,6529.98863278419
290233,29433.5715974437,108546.24,3010.76572574103
290234,204791.069172291,357709.2,21017.7232404794
290235,378341.308028039,3671813.28776559,38984.0479736031
290251,371139.155547126,2281938,38280.6602075839
290256,55938.9357563248,111013.2,5757.64157481211
290258,72465.5818715135,630308.28,7442.65759795754
