Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
1,,466251.581,4312190.766,2455.541,,-105.38951106,38.95802544,2441.550,Global,0.010,0.010,0.012,0.015,2.134,m,FIX,2024-04-24 15:18:44.0 UTC-06:00,2024-04-24 15:18:47.0 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,147.552,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
2,,466251.522,4312190.728,2455.494,,-105.38951174,38.95802510,2441.503,Global,0.010,0.010,0.011,0.014,2.134,m,FIX,2024-04-24 15:19:07.0 UTC-06:00,2024-04-24 15:19:10.0 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,147.507,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
3,,466251.609,4312190.726,2455.503,,-105.38951073,38.95802508,2441.512,Global,0.010,0.010,0.012,0.014,2.134,m,FIX,2024-04-24 15:19:57.6 UTC-06:00,2024-04-24 15:20:00.6 UTC-06:00,16,1.1,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,147.515,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
4,,466251.640,4312190.814,2455.498,,-105.38951037,38.95802587,2441.507,Global,0.010,0.010,0.011,0.014,2.134,m,FIX,2024-04-24 15:20:18.8 UTC-06:00,2024-04-24 15:20:21.8 UTC-06:00,16,1.1,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,147.605,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
5,,466251.580,4312190.784,2455.557,,-105.38951106,38.95802561,2441.566,Global,0.010,0.011,0.019,0.015,2.134,m,FIX,2024-04-24 15:20:44.6 UTC-06:00,2024-04-24 15:20:47.6 UTC-06:00,16,1.1,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,147.569,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
6,,466251.456,4312190.956,2455.479,,-105.38951251,38.95802715,2441.489,Global,0.010,0.010,0.011,0.015,2.134,m,FIX,2024-04-24 15:21:26.6 UTC-06:00,2024-04-24 15:21:29.6 UTC-06:00,16,1.1,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,147.719,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
7,,466251.318,4312191.098,2455.397,,-105.38951411,38.95802842,2441.407,Global,0.011,0.010,0.013,0.015,2.134,m,FIX,2024-04-24 15:21:51.4 UTC-06:00,2024-04-24 15:21:54.4 UTC-06:00,16,1.1,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,147.854,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
8,,466251.177,4312191.256,2455.390,,-105.38951574,38.95802984,2441.399,Global,0.010,0.010,0.013,0.014,2.134,m,FIX,2024-04-24 15:22:09.4 UTC-06:00,2024-04-24 15:22:12.4 UTC-06:00,16,1.3,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,147.990,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
9,,466251.049,4312191.407,2455.392,,-105.38951722,38.95803120,2441.401,Global,0.010,0.012,0.011,0.016,2.134,m,FIX,2024-04-24 15:22:31.8 UTC-06:00,2024-04-24 15:22:34.8 UTC-06:00,16,1.1,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,148.108,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
10,,466250.930,4312191.550,2455.362,,-105.38951860,38.95803248,2441.371,Global,0.010,0.011,0.011,0.015,2.134,m,FIX,2024-04-24 15:22:52.8 UTC-06:00,2024-04-24 15:22:55.8 UTC-06:00,16,1.1,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,148.247,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
