Name,Code,Easting,Northing,OriginalElevation ,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,
1,,466251.037,4312190.807,2455.4,2435.4,,-105.3895173,38.95802579,2441.41,Global,0.012,0.012,0.011,0.017,1.934,m,FIX,2025-03-31 10:45:45.8 UTC-06:00,2025-03-31 10:46:15.8 UTC-06:00,151,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,147.523,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
2,,466251.027,4312190.807,2455.404,2435.404,,-105.3895175,38.95802579,2441.414,Global,0.01,0.011,0.01,0.015,1.934,m,FIX,2025-03-31 10:46:29.0 UTC-06:00,2025-03-31 10:46:32.0 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,147.527,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
3,,466250.952,4312190.731,2455.364,2435.364,,-105.3895183,38.9580251,2441.373,Global,0.01,0.012,0.01,0.016,1.934,m,FIX,2025-03-31 10:46:44.0 UTC-06:00,2025-03-31 10:46:47.0 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,147.437,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
4,,466250.925,4312190.917,2455.358,2435.358,,-105.3895186,38.95802678,2441.367,Global,0.011,0.011,0.01,0.015,1.934,m,FIX,2025-03-31 10:46:57.8 UTC-06:00,2025-03-31 10:47:00.8 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,147.625,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
5,,466251.142,4312190.907,2455.344,2435.344,,-105.3895161,38.95802669,2441.354,Global,0.011,0.011,0.011,0.015,1.934,m,FIX,2025-03-31 10:47:07.2 UTC-06:00,2025-03-31 10:47:10.2 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,147.647,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,8,6,0,
6,,466251.117,4312190.735,2455.344,2435.344,,-105.3895164,38.95802514,2441.354,Global,0.011,0.015,0.011,0.019,1.934,m,FIX,2025-03-31 10:47:17.4 UTC-06:00,2025-03-31 10:47:20.4 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,147.462,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,8,6,0,
7,,466250.999,4312190.8,2455.361,2435.361,,-105.3895178,38.95802573,2441.37,Global,0.011,0.014,0.012,0.017,1.934,m,FIX,2025-03-31 10:47:30.8 UTC-06:00,2025-03-31 10:47:33.8 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,147.508,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,8,6,0,
8,,466251.033,4312190.796,2455.407,2435.407,,-105.3895174,38.9580257,2441.416,Global,0.01,0.012,0.01,0.015,1.934,m,FIX,2025-03-31 10:47:41.8 UTC-06:00,2025-03-31 10:47:44.8 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,147.521,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
9,,466250.923,4312190.972,2455.355,2435.355,,-105.3895187,38.95802727,2441.364,Global,0.012,0.012,0.01,0.017,1.934,m,FIX,2025-03-31 10:48:04.0 UTC-06:00,2025-03-31 10:48:07.0 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,147.668,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
10,,466250.799,4312191.094,2455.305,2435.305,,-105.3895201,38.95802837,2441.314,Global,0.019,0.015,0.01,0.024,1.934,m,FIX,2025-03-31 10:48:14.8 UTC-06:00,2025-03-31 10:48:17.8 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,147.785,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,8,6,0,
11,,466250.704,4312191.266,2455.257,2435.257,,-105.3895212,38.95802991,2441.267,Global,0.011,0.01,0.01,0.015,1.934,m,FIX,2025-03-31 10:48:26.8 UTC-06:00,2025-03-31 10:48:29.8 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,147.946,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
12,,466250.567,4312191.437,2455.247,2435.247,,-105.3895228,38.95803145,2441.257,Global,0.011,0.01,0.01,0.015,1.934,m,FIX,2025-03-31 10:48:37.0 UTC-06:00,2025-03-31 10:48:40.0 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,148.091,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
13,,466250.456,4312191.561,2455.24,2435.24,,-105.3895241,38.95803257,2441.249,Global,0.01,0.019,0.01,0.022,1.934,m,FIX,2025-03-31 10:48:47.0 UTC-06:00,2025-03-31 10:48:50.0 UTC-06:00,16,1,1.2,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,148.22,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
