Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1,,468033.757,4313288.469,2432.773,,-105.3689936,38.96798393,2418.753,Global,0.011,0.011,0.011,0.015,1.934,m,FIX,RTK,2025-04-01 13:19:49.8 UTC-06:00,2025-04-01 13:20:19.8 UTC-06:00,151,1.3,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,373.011,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,8,5,0
2,,468033.756,4313288.47,2432.773,,-105.3689936,38.96798393,2418.753,Global,0.01,0.011,0.01,0.015,1.934,m,FIX,RTK,2025-04-01 13:21:53.2 UTC-06:00,2025-04-01 13:21:56.2 UTC-06:00,16,1.3,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,373.004,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,8,6,0
3,,468033.622,4313288.53,2432.741,,-105.3689952,38.96798447,2418.721,Global,0.01,0.011,0.01,0.015,1.934,m,FIX,RTK,2025-04-01 13:22:10.2 UTC-06:00,2025-04-01 13:22:13.2 UTC-06:00,16,1.3,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,373.136,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,8,6,0
4,,468033.809,4313288.589,2432.71,,-105.368993,38.96798501,2418.691,Global,0.01,0.011,0.01,0.015,1.934,m,FIX,RTK,2025-04-01 13:22:26.2 UTC-06:00,2025-04-01 13:22:29.2 UTC-06:00,16,1.3,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,372.947,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,8,6,0
5,,468033.904,4313288.433,2432.709,,-105.3689919,38.96798361,2418.69,Global,0.011,0.012,0.01,0.016,1.934,m,FIX,RTK,2025-04-01 13:22:46.4 UTC-06:00,2025-04-01 13:22:49.4 UTC-06:00,16,1.3,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,372.858,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,8,7,0
6,,468033.712,4313288.35,2432.747,,-105.3689941,38.96798286,2418.727,Global,0.01,0.011,0.011,0.015,1.934,m,FIX,RTK,2025-04-01 13:23:04.6 UTC-06:00,2025-04-01 13:23:07.6 UTC-06:00,16,1.3,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,373.057,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,8,7,0
7,,468033.747,4313288.441,2432.719,,-105.3689937,38.96798367,2418.699,Global,0.011,0.012,0.01,0.016,1.934,m,FIX,RTK,2025-04-01 13:23:32.4 UTC-06:00,2025-04-01 13:23:35.4 UTC-06:00,16,1.3,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,373.023,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,8,6,0
8,,468033.755,4313288.481,2432.768,,-105.3689936,38.96798404,2418.748,Global,0.011,0.011,0.01,0.016,1.934,m,FIX,RTK,2025-04-01 13:23:51.8 UTC-06:00,2025-04-01 13:23:54.8 UTC-06:00,16,1.3,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,373.013,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,9,6,0
9,,468033.814,4313288.554,2432.715,,-105.3689929,38.9679847,2418.696,Global,0.012,0.012,0.011,0.017,1.934,m,FIX,RTK,2025-04-01 13:24:22.4 UTC-06:00,2025-04-01 13:24:25.4 UTC-06:00,16,1.3,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,372.951,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,8,7,0
10,,468033.886,4313288.734,2432.663,,-105.3689921,38.96798632,2418.644,Global,0.013,0.013,0.01,0.018,1.934,m,FIX,RTK,2025-04-01 13:24:58.8 UTC-06:00,2025-04-01 13:25:01.8 UTC-06:00,16,1.3,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,372.872,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,8,6,0
11,,468033.94,4313288.937,2432.598,,-105.3689915,38.96798815,2418.578,Global,0.01,0.01,0.01,0.015,1.934,m,FIX,RTK,2025-04-01 13:25:24.6 UTC-06:00,2025-04-01 13:25:27.6 UTC-06:00,16,1.3,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,372.805,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,8,6,0
12,,468033.998,4313289.13,2432.358,,-105.3689908,38.96798989,2418.338,Global,0.01,0.011,0.01,0.015,1.934,m,FIX,RTK,2025-04-01 13:25:52.8 UTC-06:00,2025-04-01 13:25:55.8 UTC-06:00,16,1.3,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,372.74,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,9,5,0
13,,468034.07,4313289.343,2432.37,,-105.36899,38.96799182,2418.35,Global,0.012,0.011,0.01,0.016,1.934,m,FIX,RTK,2025-04-01 13:26:20.6 UTC-06:00,2025-04-01 13:26:23.6 UTC-06:00,16,1.3,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,372.671,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,9,5,0
14,,468034.125,4313289.502,2432.226,,-105.3689894,38.96799325,2418.206,Global,0.012,0.012,0.01,0.017,1.934,m,FIX,RTK,2025-04-01 13:26:49.8 UTC-06:00,2025-04-01 13:26:52.8 UTC-06:00,16,1.3,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,372.594,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,9,5,0
15,,468034.199,4313289.705,2431.957,,-105.3689886,38.96799508,2417.938,Global,0.011,0.011,0.01,0.015,1.934,m,FIX,RTK,2025-04-01 13:27:14.8 UTC-06:00,2025-04-01 13:27:17.8 UTC-06:00,16,1.3,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,372.528,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,8,5,0
16,,468034.289,4313289.852,2432.164,,-105.3689875,38.96799641,2418.145,Global,0.01,0.011,0.01,0.015,1.934,m,FIX,RTK,2025-04-01 13:27:52.2 UTC-06:00,2025-04-01 13:27:55.2 UTC-06:00,16,1.3,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,372.423,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,9,5,0
17,,468034.372,4313290.065,2432.342,,-105.3689866,38.96799833,2418.323,Global,0.012,0.011,0.01,0.016,1.934,m,FIX,RTK,2025-04-01 13:28:23.2 UTC-06:00,2025-04-01 13:28:26.2 UTC-06:00,16,1.3,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,372.33,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,9,5,0
18,,468034.453,4313290.254,2432.406,,-105.3689856,38.96800003,2418.386,Global,0.015,0.012,0.01,0.019,1.934,m,FIX,RTK,2025-04-01 13:29:13.0 UTC-06:00,2025-04-01 13:29:16.0 UTC-06:00,16,1.3,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,372.255,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,8,5,0
19,,468034.557,4313290.436,2432.566,,-105.3689845,38.96800168,2418.546,Global,0.012,0.013,0.012,0.018,1.934,m,FIX,RTK,2025-04-01 13:30:17.8 UTC-06:00,2025-04-01 13:30:20.8 UTC-06:00,16,1.2,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,372.152,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,9,5,0
20,,468034.611,4313290.618,2432.661,,-105.3689838,38.96800332,2418.642,Global,0.012,0.011,0.01,0.016,1.934,m,FIX,RTK,2025-04-01 13:30:36.8 UTC-06:00,2025-04-01 13:30:39.8 UTC-06:00,16,1.2,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,372.1,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,9,5,0
21,,468034.624,4313290.859,2432.238,,-105.3689837,38.9680055,2418.218,Global,0.011,0.011,0.01,0.016,1.934,m,FIX,RTK,2025-04-01 13:31:11.8 UTC-06:00,2025-04-01 13:31:14.8 UTC-06:00,16,1.2,1.5,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,372.07,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,8,5,0
22,,468034.803,4313290.968,2432.342,,-105.3689816,38.96800648,2418.323,Global,0.011,0.014,0.01,0.018,1.934,m,FIX,RTK,2025-04-01 13:32:01.6 UTC-06:00,2025-04-01 13:32:04.6 UTC-06:00,16,1.2,1.4,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,371.889,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,8,5,0
23,,468034.845,4313291.165,2432.206,,-105.3689812,38.96800826,2418.186,Global,0.011,0.011,0.01,0.015,1.934,m,FIX,RTK,2025-04-01 13:32:32.8 UTC-06:00,2025-04-01 13:32:35.8 UTC-06:00,16,1.2,1.4,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,371.839,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,9,6,0
24,,468034.958,4313291.379,2432.046,,-105.3689799,38.96801019,2418.026,Global,0.011,0.01,0.01,0.015,1.934,m,FIX,RTK,2025-04-01 13:33:02.2 UTC-06:00,2025-04-01 13:33:05.2 UTC-06:00,16,1.2,1.4,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,371.713,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,9,5,0
25,,468034.934,4313291.549,2431.992,,-105.3689802,38.96801172,2417.972,Global,0.011,0.01,0.01,0.015,1.934,m,FIX,RTK,2025-04-01 13:33:49.2 UTC-06:00,2025-04-01 13:33:52.2 UTC-06:00,16,1.2,1.4,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,371.74,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,4,9,5,0
26,,468035.083,4313291.71,2431.809,,-105.3689784,38.96801318,2417.79,Global,0.011,0.01,0.01,0.015,1.934,m,FIX,RTK,2025-04-01 13:34:26.0 UTC-06:00,2025-04-01 13:34:29.0 UTC-06:00,16,1.2,1.4,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,371.592,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,9,5,0
27,,468034.94,4313291.933,2431.479,,-105.3689801,38.96801519,2417.459,Global,0.012,0.011,0.01,0.016,1.934,m,FIX,RTK,2025-04-01 13:35:03.2 UTC-06:00,2025-04-01 13:35:06.2 UTC-06:00,16,1.2,1.4,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,371.715,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,8,5,0
28,,468034.964,4313291.982,2431.462,,-105.3689798,38.96801563,2417.442,Global,0.011,0.012,0.01,0.016,1.934,m,FIX,RTK,2025-04-01 13:35:28.8 UTC-06:00,2025-04-01 13:35:31.8 UTC-06:00,16,1.2,1.4,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,371.706,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,4,8,5,0
29,,468035.008,4313292.176,2431.362,,-105.3689793,38.96801738,2417.342,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,RTK,2025-04-01 13:35:57.4 UTC-06:00,2025-04-01 13:36:00.4 UTC-06:00,16,1.2,1.4,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,371.652,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,5,0
30,,468035.085,4313292.343,2431.337,,-105.3689784,38.96801888,2417.317,Global,0.012,0.011,0.01,0.016,1.934,m,FIX,RTK,2025-04-01 13:36:17.4 UTC-06:00,2025-04-01 13:36:20.4 UTC-06:00,16,1.2,1.4,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,371.58,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,8,5,0
31,,468035.22,4313292.508,2431.443,,-105.3689769,38.96802038,2417.423,Global,0.01,0.01,0.01,0.015,1.934,m,FIX,RTK,2025-04-01 13:36:47.6 UTC-06:00,2025-04-01 13:36:50.6 UTC-06:00,16,1.2,1.4,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,371.433,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,5,0
32,,468035.321,4313292.711,2431.35,,-105.3689757,38.96802221,2417.33,Global,0.01,0.011,0.01,0.015,1.934,m,FIX,RTK,2025-04-01 13:37:10.2 UTC-06:00,2025-04-01 13:37:13.2 UTC-06:00,16,1.2,1.4,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,371.332,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,5,0
33,,468035.342,4313292.915,2431.605,,-105.3689755,38.96802405,2417.585,Global,0.01,0.012,0.01,0.015,1.934,m,FIX,RTK,2025-04-01 13:37:41.2 UTC-06:00,2025-04-01 13:37:44.2 UTC-06:00,16,1.2,1.4,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,371.301,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,8,5,0
34,,468035.481,4313293.086,2431.616,,-105.3689739,38.96802559,2417.596,Global,0.011,0.011,0.01,0.015,1.934,m,FIX,RTK,2025-04-01 13:38:00.8 UTC-06:00,2025-04-01 13:38:03.8 UTC-06:00,16,1.2,1.4,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,371.163,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,8,5,0
35,,468035.507,4313293.305,2431.308,,-105.3689736,38.96802757,2417.289,Global,0.011,0.012,0.01,0.016,1.934,m,FIX,RTK,2025-04-01 13:38:24.2 UTC-06:00,2025-04-01 13:38:27.2 UTC-06:00,16,1.2,1.4,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,371.128,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,5,0
36,,468035.57,4313293.46,2431.374,,-105.3689729,38.96802897,2417.355,Global,0.01,0.01,0.01,0.015,1.934,m,FIX,RTK,2025-04-01 13:38:51.4 UTC-06:00,2025-04-01 13:38:54.4 UTC-06:00,16,1.3,1.6,468406.275,4313300.688,2434.672,-105.3646942,38.96810755,2420.645,371.064,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,5,0
