number,point,easting,northing,elevationj,code,date,reach,transect,point_type,nb_sb,notes
1,manitou,4344627.864,1010977.779,2350.911,base,,,,base,,
2,dam_1,4328330.596,988157.867,2412.341,base,7/10/2023,,,base,,
3,nb_up_3,4328355.114,988082.994,2411.023,ctl_old,7/10/2023,us,3,observed control point,nb,
4,nb_up_2,4328358.775,988029.126,2411.684,ctl_old,7/10/2023,us,2,observed control point,nb,
5,nb_up_1,4328356.755,987992.2,2412.194,ctl_old,7/10/2023,us,1,observed control point,nb,
6,sb_up_1,4328331.061,987985.115,2411.96,ctl_old,7/10/2023,us,1,observed control point,sb,
7,sb_up_2,4328321.881,988019.3,2411.248,ctl_old,7/10/2023,us,2,observed control point,sb,
8,sb_up_3,4328312.392,988081.883,2411.063,ctl_old,7/10/2023,us,3,observed control point,sb,
9,sb_dn_1,4328354.302,988211.057,2407.652,ctl_old,7/10/2023,ds,1,observed control point,sb,
10,sb_dn_2,4328374.838,988244.622,2407.606,ctl_old,7/10/2023,ds,2,observed control point,sb,
11,nb_dn_1,4328380.806,988205.791,2408.134,ctl_old,7/10/2023,ds,1,observed control point,nb,
12,nb_dn_2,4328393.763,988235.993,2407.798,ctl_old,7/10/2023,ds,2,observed control point,nb,
13,nb_dn_3,4328441.867,988314.73,2407.585,ctl_old,7/10/2023,ds,3,observed control point,nb,
14,sb_dn_3,4328436.253,988332.964,2407.825,ctl_old,7/10/2023,ds,3,observed control point,sb,
15,new_nb_dn_3,4328457.088,988266.471,2409.241,ctl_new,7/10/2023,ds,3,observed control point,nb,
16,1,4328456.992,988266.879,2409.163,tr,7/11/2023,ds,3,rapid,,
17,2,4328456.892,988267.264,2409.065,tr,7/11/2023,ds,3,rapid,,
18,3,4328456.707,988267.706,2408.901,tr,7/11/2023,ds,3,rapid,,
19,4,4328456.571,988268.151,2408.743,tr,7/11/2023,ds,3,rapid,,
20,5,4328456.186,988269.506,2408.414,tr,7/11/2023,ds,3,rapid,,
21,6,4328456.103,988270.063,2408.524,tr,7/11/2023,ds,3,rapid,,
22,7,4328455.82,988270.548,2408.143,tr,7/11/2023,ds,3,rapid,,
23,8,4328455.629,988271.079,2407.991,tr,7/11/2023,ds,3,rapid,,
24,9,4328455.545,988271.4,2407.916,tr,7/11/2023,ds,3,rapid,,
25,10,4328455.404,988271.776,2407.811,tr,7/11/2023,ds,3,rapid,,
26,11,4328455.278,988272.21,2407.698,tr,7/11/2023,ds,3,rapid,,
27,12,4328455.054,988272.679,2407.66,tr,7/11/2023,ds,3,rapid,,
28,13,4328454.995,988273.098,2407.561,tr,7/11/2023,ds,3,rapid,,
29,14,4328454.814,988273.687,2407.541,tr,7/11/2023,ds,3,rapid,,
30,15,4328454.705,988274.322,2407.515,tr,7/11/2023,ds,3,rapid,,
31,16,4328454.543,988274.732,2407.478,tr,7/11/2023,ds,3,rapid,,
32,17,4328454.292,988275.359,2407.49,tr,7/11/2023,ds,3,rapid,,
33,18,4328454.174,988275.973,2407.474,tr,7/11/2023,ds,3,rapid,,
34,19,4328453.901,988276.604,2407.47,tr,7/11/2023,ds,3,rapid,,
35,20,4328453.815,988277.161,2407.389,tr,7/11/2023,ds,3,rapid,,
36,21,4328453.611,988277.731,2407.425,tr,7/11/2023,ds,3,rapid,,
37,22,4328453.483,988278.24,2407.427,tr,7/11/2023,ds,3,rapid,,
38,23,4328453.339,988278.784,2407.428,tr,7/11/2023,ds,3,rapid,,
39,24,4328453.215,988279.27,2407.397,tr,7/11/2023,ds,3,rapid,,
40,25,4328452.982,988279.966,2407.347,tr,7/11/2023,ds,3,rapid,,
41,26,4328452.747,988280.724,2407.315,tr,7/11/2023,ds,3,rapid,,
42,27,4328452.5,988281.404,2407.367,tr,7/11/2023,ds,3,rapid,,
43,28,4328452.273,988281.986,2407.373,tr,7/11/2023,ds,3,rapid,,
44,29,4328452.101,988282.541,2407.439,tr,7/11/2023,ds,3,rapid,,
45,30,4328451.876,988283.161,2407.469,tr,7/11/2023,ds,3,rapid,,
46,31,4328451.713,988283.669,2407.466,tr,7/11/2023,ds,3,rapid,,
47,32,4328451.577,988284.098,2407.509,tr,7/11/2023,ds,3,rapid,,
48,33,4328451.36,988284.751,2407.489,tr,7/11/2023,ds,3,rapid,,
49,34,4328451.172,988285.47,2407.548,tr,7/11/2023,ds,3,rapid,,
50,35,4328451.002,988286.12,2407.536,tr,7/11/2023,ds,3,rapid,,
51,36,4328450.763,988286.683,2407.587,tr,7/11/2023,ds,3,rapid,,
