point,easting,northing,elevationj,code
manitou,4344627.864,1010977.779,2350.911,
dam_1,4328330.596,988157.867,2412.341,
nb_up_3,4328355.114,988082.994,2411.023,ctl_old
nb_up_2,4328358.775,988029.126,2411.684,ctl_old
nb_up_1,4328356.755,987992.2,2412.194,ctl_old
sb_up_1,4328331.061,987985.115,2411.96,ctl_old
sb_up_2,4328321.881,988019.3,2411.248,ctl_old
sb_up_3,4328312.392,988081.883,2411.063,ctl_old
sb_dn_1,4328354.302,988211.057,2407.652,ctl_old
sb_dn_2,4328374.838,988244.622,2407.606,ctl_old
nb_dn_1,4328380.806,988205.791,2408.134,ctl_old
nb_dn_2,4328393.763,988235.993,2407.798,ctl_old
nb_dn_3,4328441.867,988314.73,2407.585,ctl_old
sb_dn_3,4328436.253,988332.964,2407.825,ctl_old
new_nb_dn_3,4328457.088,988266.471,2409.241,ctl_new
1,4328456.992,988266.879,2409.163,tr
2,4328456.892,988267.264,2409.065,tr
3,4328456.707,988267.706,2408.901,tr
4,4328456.571,988268.151,2408.743,tr
5,4328456.186,988269.506,2408.414,tr
6,4328456.103,988270.063,2408.524,tr
7,4328455.82,988270.548,2408.143,tr
8,4328455.629,988271.079,2407.991,tr
9,4328455.545,988271.4,2407.916,tr
10,4328455.404,988271.776,2407.811,tr
11,4328455.278,988272.21,2407.698,tr
12,4328455.054,988272.679,2407.66,tr
13,4328454.995,988273.098,2407.561,tr
14,4328454.814,988273.687,2407.541,tr
15,4328454.705,988274.322,2407.515,tr
16,4328454.543,988274.732,2407.478,tr
17,4328454.292,988275.359,2407.49,tr
18,4328454.174,988275.973,2407.474,tr
19,4328453.901,988276.604,2407.47,tr
20,4328453.815,988277.161,2407.389,tr
21,4328453.611,988277.731,2407.425,tr
22,4328453.483,988278.24,2407.427,tr
23,4328453.339,988278.784,2407.428,tr
24,4328453.215,988279.27,2407.397,tr
25,4328452.982,988279.966,2407.347,tr
26,4328452.747,988280.724,2407.315,tr
27,4328452.5,988281.404,2407.367,tr
28,4328452.273,988281.986,2407.373,tr
29,4328452.101,988282.541,2407.439,tr
30,4328451.876,988283.161,2407.469,tr
31,4328451.713,988283.669,2407.466,tr
32,4328451.577,988284.098,2407.509,tr
33,4328451.36,988284.751,2407.489,tr
34,4328451.172,988285.47,2407.548,tr
35,4328451.002,988286.12,2407.536,tr
36,4328450.763,988286.683,2407.587,tr
37,4328450.411,988287.767,2407.582,tr
38,4328450.253,988288.36,2407.62,tr
39,4328450.105,988288.774,2407.602,tr
40,4328449.855,988289.452,2407.57,tr
41,4328449.731,988289.927,2407.535,tr
42,4328449.464,988290.765,2407.555,tr
43,4328449.216,988291.439,2407.563,tr
44,4328449.006,988292.201,2407.552,tr
45,4328448.764,988292.998,2407.586,tr
46,4328448.581,988293.474,2407.588,tr
47,4328448.381,988294.158,2407.631,tr
48,4328448.197,988294.756,2407.654,tr
49,4328448.003,988295.369,2407.665,tr_dn_3
50,4328447.766,988296.088,2407.661,tr_dn_3
51,4328447.583,988296.718,2407.657,tr_dn_3
52,4328447.417,988297.177,2407.572,tr_dn_3
53,4328447.293,988297.59,2407.578,tr_dn_3
54,4328447.129,988298.134,2407.604,tr_dn_3
55,4328446.932,988298.696,2407.584,tr_dn_3
56,4328446.79,988299.183,2407.618,tr_dn_3
57,4328446.671,988299.694,2407.611,tr_dn_3
58,4328446.427,988300.351,2407.599,tr_dn_3
59,4328446.3,988300.774,2407.599,tr_dn_3
60,4328446.158,988301.298,2407.589,tr_dn_3
61,4328445.99,988301.74,2407.603,tr_dn_3
62,4328445.84,988302.248,2407.567,tr_dn_3
63,4328445.678,988302.815,2407.58,tr_dn_3
64,4328445.451,988303.509,2407.495,tr_dn_3
65,4328445.271,988304.205,2407.489,tr_dn_3
66,4328445.104,988304.744,2407.537,tr_dn_3
67,4328444.913,988305.27,2407.588,tr_dn_3
68,4328444.777,988305.749,2407.576,tr_dn_3
69,4328444.598,988306.226,2407.55,tr_dn_3
70,4328444.405,988306.733,2407.528,tr_dn_3
71,4328444.264,988307.29,2407.526,tr_dn_3
72,4328444.1,988307.87,2407.475,tr_dn_3
73,4328443.945,988308.313,2407.444,tr_dn_3
74,4328443.765,988308.774,2407.457,tr_dn_3
75,4328443.533,988309.523,2407.473,tr_dn_3
76,4328443.341,988310.03,2407.478,tr_dn_3
77,4328443.22,988310.533,2407.453,tr_dn_3
78,4328443.049,988311.029,2407.442,tr_dn_3
79,4328442.896,988311.531,2407.422,tr_dn_3
80,4328442.746,988311.944,2407.442,tr_dn_3
81,4328442.619,988312.402,2407.472,tr_dn_3
82,4328442.433,988312.946,2407.468,tr_dn_3
83,4328442.288,988313.365,2407.489,tr_dn_3
84,4328442.203,988313.894,2407.535,tr_dn_3
85,4328442.048,988314.425,2407.587,tr_dn_3
86,4328441.933,988314.822,2407.601,tr_dn_3
87,4328441.898,988315.075,2407.513,tr_dn_3
758,4328441.952,988315.182,2407.539,tr
759,4328441.943,988315.326,2407.302,tr
760,4328441.835,988315.501,2407.189,tr
761,4328441.793,988315.55,2407.182,tr
762,4328441.714,988315.751,2407.156,tr
763,4328441.678,988315.888,2407.118,tr
764,4328441.656,988315.973,2407.086,tr
765,4328441.645,988316.063,2407.059,tr
766,4328441.611,988316.195,2407.021,tr
767,4328441.562,988316.275,2406.978,tr
768,4328441.547,988316.371,2406.956,tr
769,4328441.502,988316.481,2406.95,tr
770,4328441.444,988316.631,2406.88,tr
771,4328441.391,988316.843,2406.85,tr
772,4328441.322,988317.004,2406.838,tr
773,4328441.268,988317.207,2406.881,tr
774,4328441.208,988317.421,2406.922,tr
775,4328441.146,988317.604,2406.886,tr
776,4328441.037,988317.795,2406.847,tr
777,4328440.986,988317.969,2406.726,tr
778,4328440.918,988318.189,2406.615,tr
779,4328440.859,988318.358,2406.544,tr
780,4328440.804,988318.492,2406.558,tr
781,4328440.774,988318.767,2406.54,tr
782,4328440.725,988318.927,2406.551,tr
783,4328440.614,988319.139,2406.615,tr
784,4328440.554,988319.279,2406.628,tr
785,4328440.527,988319.501,2406.839,tr
786,4328440.471,988319.693,2406.841,tr
787,4328440.419,988319.888,2406.818,tr
788,4328440.352,988320.068,2406.786,tr
789,4328440.235,988320.276,2406.888,tr
790,4328440.234,988320.494,2406.882,tr
791,4328440.151,988320.676,2406.873,tr
792,4328440.069,988320.835,2406.882,tr
793,4328440.033,988321.027,2406.853,tr
794,4328439.95,988321.225,2406.854,tr
795,4328439.957,988321.422,2406.86,tr
796,4328439.791,988321.586,2406.844,tr
797,4328439.744,988321.787,2406.814,tr
798,4328439.722,988322.001,2406.802,tr
799,4328439.686,988322.201,2406.794,tr
800,4328439.678,988322.2,2406.778,tr
801,4328439.608,988322.392,2406.704,tr
802,4328439.551,988322.573,2406.691,tr
803,4328439.538,988322.791,2406.691,tr
804,4328439.424,988322.952,2406.708,tr
805,4328439.384,988323.127,2406.733,tr
806,4328439.31,988323.338,2406.751,tr
807,4328439.261,988323.521,2406.749,tr
808,4328439.178,988323.729,2406.741,tr
809,4328439.183,988323.943,2406.737,tr
810,4328439.16,988324.112,2406.724,tr
811,4328439.014,988324.278,2406.693,tr
812,4328438.95,988324.491,2406.647,tr
813,4328438.884,988324.685,2406.624,tr
814,4328438.847,988324.852,2406.581,tr
815,4328438.813,988325.091,2406.567,tr
816,4328438.725,988325.231,2406.535,tr
817,4328438.703,988325.456,2406.527,tr
818,4328438.615,988325.64,2406.504,tr
819,4328438.561,988325.851,2406.475,tr
820,4328438.535,988326.022,2406.459,tr
821,4328438.451,988326.245,2406.548,tr
822,4328438.363,988326.412,2406.597,tr
823,4328438.36,988326.606,2406.632,tr
824,4328438.227,988326.788,2406.654,tr
825,4328438.177,988326.998,2406.647,tr
826,4328438.172,988327.185,2406.614,tr
827,4328438.052,988327.377,2406.611,tr
828,4328437.991,988327.531,2406.607,tr
829,4328437.945,988327.768,2406.578,tr
830,4328437.846,988327.92,2406.594,tr
831,4328437.817,988328.129,2406.615,tr
832,4328437.801,988328.343,2406.628,tr
833,4328437.746,988328.552,2406.642,tr
834,4328437.625,988328.721,2406.64,tr
835,4328437.534,988328.905,2406.681,tr
836,4328437.503,988329.093,2406.717,tr
837,4328437.417,988329.282,2406.744,tr
838,4328437.35,988329.469,2406.792,tr
839,4328437.288,988329.614,2406.844,tr
840,4328437.262,988329.827,2406.859,tr
841,4328437.16,988330.051,2406.911,tr
842,4328437.138,988330.211,2406.96,tr
843,4328437.058,988330.427,2407.018,tr
844,4328437.032,988330.605,2407.055,tr
845,4328436.991,988330.806,2407.092,tr
846,4328436.908,988331,2407.113,tr
847,4328436.847,988331.183,2407.136,tr
848,4328436.783,988331.381,2407.152,tr
849,4328436.729,988331.563,2407.169,tr
850,4328436.666,988331.764,2407.19,tr
851,4328436.615,988331.966,2407.229,tr
852,4328436.604,988332.018,2407.261,tr
853,4328436.587,988332.108,2407.535,tr
854,4328436.527,988332.279,2407.698,tr
855,4328436.484,988332.437,2407.767,tr
856,4328436.418,988332.728,2407.831,tr
857,4328436.333,988332.942,2407.841,tr
88,4328436.175,988333.44,2407.823,tr
89,4328436.021,988334.083,2407.854,tr
90,4328435.869,988334.596,2407.856,tr
91,4328435.731,988335.324,2407.863,tr
92,4328435.604,988335.89,2407.83,tr
93,4328435.439,988336.67,2407.937,tr
94,4328435.31,988337.082,2407.902,tr
95,4328435.205,988337.61,2407.91,tr
96,4328435.056,988338.133,2407.908,tr
97,4328434.902,988338.633,2407.871,tr
98,4328434.703,988339.311,2407.911,tr
99,4328434.537,988339.786,2407.949,tr
100,4328434.309,988340.76,2407.987,tr
101,4328434.187,988341.269,2407.979,tr
102,4328434.033,988341.717,2407.995,tr
103,4328433.827,988342.346,2407.977,tr
104,4328433.67,988342.883,2407.965,tr
105,4328433.518,988343.299,2407.925,tr
106,4328433.319,988343.778,2408.008,tr
107,4328433.159,988344.263,2407.993,tr
108,4328432.986,988344.92,2408.048,tr
109,4328432.875,988345.565,2408.079,tr
110,4328432.74,988346.167,2408.133,tr
111,4328432.66,988346.832,2408.06,tr
