,index,Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,northing_adj,easting_adj,elevation_adj,geometry
0,0,1,,466242.114,4311870.617,2457.345,,-105.3896045,38.95514015,2443.351,Global,0.01,0.011,0.01,0.015,2.134,m,FIX,2024-07-22 13:19:05.6 UTC-06:00,2024-07-22 13:19:08.6 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.475,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,5,6,5,0,4311870.035,466243.779,2455.3469999999998,POINT Z (466243.779 4311870.035 2455.3469999999998)
1,1,2,,466242.072,4311870.496,2457.28,,-105.389605,38.95513906,2443.286,Global,0.012,0.012,0.011,0.017,2.134,m,FIX,2024-07-22 13:19:17.6 UTC-06:00,2024-07-22 13:19:20.6 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.597,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,5,6,5,0,4311869.914000001,466243.73699999996,2455.282,POINT Z (466243.73699999996 4311869.914000001 2455.282)
2,2,3,,466242.261,4311870.576,2457.342,,-105.3896028,38.95513978,2443.348,Global,0.011,0.011,0.01,0.015,2.134,m,FIX,2024-07-22 13:19:29.4 UTC-06:00,2024-07-22 13:19:32.4 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.524,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,6,5,0,4311869.994000001,466243.926,2455.344,POINT Z (466243.926 4311869.994000001 2455.344)
3,3,4,,466242.145,4311870.721,2457.324,,-105.3896042,38.95514108,2443.331,Global,0.01,0.011,0.011,0.015,2.134,m,FIX,2024-07-22 13:19:42.0 UTC-06:00,2024-07-22 13:19:45.0 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.372,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,6,5,0,4311870.139,466243.81,2455.326,POINT Z (466243.81 4311870.139 2455.326)
4,4,5,,466241.957,4311870.609,2457.264,,-105.3896063,38.95514007,2443.271,Global,0.011,0.011,0.01,0.016,2.134,m,FIX,2024-07-22 13:19:53.4 UTC-06:00,2024-07-22 13:19:56.4 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.479,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,6,5,0,4311870.027000001,466243.622,2455.266,POINT Z (466243.622 4311870.027000001 2455.266)
5,5,6,,466242.122,4311870.608,2457.331,,-105.3896044,38.95514006,2443.337,Global,0.011,0.011,0.011,0.016,2.134,m,FIX,2024-07-22 13:20:06.2 UTC-06:00,2024-07-22 13:20:09.2 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.491,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,5,5,0,4311870.026000001,466243.78699999995,2455.333,POINT Z (466243.78699999995 4311870.026000001 2455.333)
6,6,7,,466241.944,4311870.62,2457.256,,-105.3896065,38.95514017,2443.262,Global,0.011,0.011,0.012,0.015,2.134,m,FIX,2024-07-22 13:20:27.6 UTC-06:00,2024-07-22 13:20:30.6 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.468,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,6,5,0,4311870.038000001,466243.609,2455.258,POINT Z (466243.609 4311870.038000001 2455.258)
7,7,8,,466241.736,4311870.604,2457.156,,-105.3896089,38.95514002,2443.162,Global,0.012,0.016,0.01,0.02,2.134,m,FIX,2024-07-22 13:20:45.2 UTC-06:00,2024-07-22 13:20:48.2 UTC-06:00,16,1.6,2.0,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.468,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,6,5,0,4311870.022000001,466243.40099999995,2455.158,POINT Z (466243.40099999995 4311870.022000001 2455.158)
8,8,9,,466241.574,4311870.64,2457.106,,-105.3896107,38.95514033,2443.112,Global,0.011,0.01,0.012,0.015,2.134,m,FIX,2024-07-22 13:21:00.2 UTC-06:00,2024-07-22 13:21:03.2 UTC-06:00,16,1.6,2.0,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.444,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,6,5,0,4311870.058,466243.239,2455.108,POINT Z (466243.239 4311870.058 2455.108)
9,9,10,,466241.34,4311870.647,2457.068,,-105.3896135,38.95514039,2443.074,Global,0.012,0.01,0.011,0.016,2.134,m,FIX,2024-07-22 13:21:12.8 UTC-06:00,2024-07-22 13:21:15.8 UTC-06:00,16,1.6,2.0,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.418,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,6,5,0,4311870.065,466243.005,2455.07,POINT Z (466243.005 4311870.065 2455.07)
