Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1,,468260.659,4313293.971,2424.256,,-105.36637472,38.96804176,2410.231,Global,0.012,0.011,0.012,0.016,2.134,m,FIX,2024-07-23 11:05:36.0 UTC-06:00,2024-07-23 11:06:06.0 UTC-06:00,151,1.3,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.455,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,8,8,4,0
2,,468260.657,4313293.972,2424.267,,-105.36637474,38.96804176,2410.242,Global,0.011,0.010,0.011,0.015,2.134,m,FIX,2024-07-23 11:06:27.0 UTC-06:00,2024-07-23 11:06:30.0 UTC-06:00,16,1.2,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.444,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,8,9,4,0
3,,468260.524,4313293.933,2424.264,,-105.36637627,38.96804141,2410.240,Global,0.010,0.012,0.010,0.016,2.134,m,FIX,2024-07-23 11:06:39.0 UTC-06:00,2024-07-23 11:06:42.0 UTC-06:00,16,1.2,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.588,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,7,8,4,0
4,,468260.736,4313293.795,2424.269,,-105.36637381,38.96804017,2410.245,Global,0.011,0.011,0.010,0.015,2.134,m,FIX,2024-07-23 11:06:56.0 UTC-06:00,2024-07-23 11:06:59.0 UTC-06:00,16,1.2,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.389,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,7,8,4,0
5,,468260.806,4313293.994,2424.159,,-105.36637302,38.96804197,2410.135,Global,0.010,0.011,0.010,0.015,2.134,m,FIX,2024-07-23 11:07:11.4 UTC-06:00,2024-07-23 11:07:14.4 UTC-06:00,16,1.4,1.6,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.306,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,7,8,4,0
6,,468260.659,4313294.123,2424.200,,-105.36637472,38.96804313,2410.175,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,2024-07-23 11:07:27.0 UTC-06:00,2024-07-23 11:07:30.0 UTC-06:00,16,1.4,1.6,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.443,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,7,9,4,0
7,,468260.654,4313294.014,2424.213,,-105.36637477,38.96804215,2410.189,Global,0.010,0.013,0.010,0.016,2.134,m,FIX,2024-07-23 11:07:47.2 UTC-06:00,2024-07-23 11:07:50.2 UTC-06:00,16,1.4,1.6,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.453,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,9,4,0
8,,468260.654,4313293.980,2424.275,,-105.36637477,38.96804184,2410.250,Global,0.010,0.010,0.010,0.015,2.134,m,FIX,2024-07-23 11:08:01.4 UTC-06:00,2024-07-23 11:08:04.4 UTC-06:00,16,1.4,1.6,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.452,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,7,9,4,0
9,,468260.639,4313294.191,2424.149,,-105.36637496,38.96804374,2410.124,Global,0.010,0.010,0.011,0.015,2.134,m,FIX,2024-07-23 11:08:36.6 UTC-06:00,2024-07-23 11:08:39.6 UTC-06:00,16,1.4,1.6,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.458,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,7,4,0
10,,468260.618,4313294.414,2424.116,,-105.36637520,38.96804575,2410.091,Global,0.011,0.012,0.010,0.017,2.134,m,FIX,2024-07-23 11:08:56.0 UTC-06:00,2024-07-23 11:08:59.0 UTC-06:00,16,1.4,1.6,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.470,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,8,4,0
11,,468260.600,4313294.612,2424.101,,-105.36637543,38.96804753,2410.077,Global,0.010,0.011,0.011,0.015,2.134,m,FIX,2024-07-23 11:09:05.4 UTC-06:00,2024-07-23 11:09:08.4 UTC-06:00,16,1.4,1.6,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.481,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,4,0
12,,468260.552,4313294.804,2424.131,,-105.36637598,38.96804926,2410.106,Global,0.012,0.011,0.010,0.016,2.134,m,FIX,2024-07-23 11:09:16.0 UTC-06:00,2024-07-23 11:09:19.0 UTC-06:00,16,1.4,1.6,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.526,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,7,8,5,0
13,,468260.518,4313295.007,2424.086,,-105.36637639,38.96805109,2410.061,Global,0.013,0.013,0.013,0.019,2.134,m,FIX,2024-07-23 11:09:29.4 UTC-06:00,2024-07-23 11:09:32.4 UTC-06:00,16,1.3,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.550,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,8,7,4,0
14,,468260.492,4313295.201,2424.078,,-105.36637670,38.96805283,2410.053,Global,0.011,0.011,0.011,0.015,2.134,m,FIX,2024-07-23 11:09:39.6 UTC-06:00,2024-07-23 11:09:42.6 UTC-06:00,16,1.3,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.570,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,7,8,4,0
15,,468260.457,4313295.419,2424.091,,-105.36637711,38.96805480,2410.066,Global,0.010,0.011,0.010,0.015,2.134,m,FIX,2024-07-23 11:10:05.4 UTC-06:00,2024-07-23 11:10:08.4 UTC-06:00,16,1.3,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.595,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,5,0
16,,468260.409,4313295.591,2424.067,,-105.36637768,38.96805635,2410.042,Global,0.012,0.014,0.010,0.019,2.134,m,FIX,2024-07-23 11:10:34.2 UTC-06:00,2024-07-23 11:10:37.2 UTC-06:00,16,1.3,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.634,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,5,0
17,,468260.381,4313295.804,2424.081,,-105.36637800,38.96805827,2410.056,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,2024-07-23 11:10:44.6 UTC-06:00,2024-07-23 11:10:47.6 UTC-06:00,16,1.3,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.657,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,5,0
18,,468260.370,4313295.985,2424.077,,-105.36637815,38.96805989,2410.052,Global,0.011,0.010,0.010,0.015,2.134,m,FIX,2024-07-23 11:10:54.0 UTC-06:00,2024-07-23 11:10:57.0 UTC-06:00,16,1.3,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.667,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,8,5,0
19,,468260.317,4313296.181,2424.056,,-105.36637876,38.96806166,2410.031,Global,0.011,0.011,0.010,0.015,2.134,m,FIX,2024-07-23 11:11:07.4 UTC-06:00,2024-07-23 11:11:10.4 UTC-06:00,16,1.3,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.703,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,7,8,5,0
20,,468260.295,4313296.382,2424.056,,-105.36637903,38.96806347,2410.031,Global,0.012,0.010,0.010,0.016,2.134,m,FIX,2024-07-23 11:11:16.4 UTC-06:00,2024-07-23 11:11:19.4 UTC-06:00,16,1.3,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.725,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,7,8,5,0
21,,468260.280,4313296.582,2424.036,,-105.36637921,38.96806528,2410.011,Global,0.011,0.010,0.010,0.015,2.134,m,FIX,2024-07-23 11:11:27.8 UTC-06:00,2024-07-23 11:11:30.8 UTC-06:00,16,1.3,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.747,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,7,8,5,0
22,,468260.246,4313296.775,2424.023,,-105.36637961,38.96806701,2409.998,Global,0.010,0.011,0.010,0.015,2.134,m,FIX,2024-07-23 11:11:39.8 UTC-06:00,2024-07-23 11:11:42.8 UTC-06:00,16,1.3,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.768,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,7,8,4,0
23,,468260.205,4313296.977,2424.010,,-105.36638009,38.96806883,2409.985,Global,0.010,0.011,0.010,0.015,2.134,m,FIX,2024-07-23 11:11:51.8 UTC-06:00,2024-07-23 11:11:54.8 UTC-06:00,16,1.3,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.807,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,7,8,5,0
24,,468260.211,4313297.186,2423.790,,-105.36638004,38.96807071,2409.765,Global,0.011,0.010,0.010,0.015,2.134,m,FIX,2024-07-23 11:12:24.6 UTC-06:00,2024-07-23 11:12:27.6 UTC-06:00,16,1.3,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.807,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,8,5,0
25,,468260.178,4313297.391,2423.759,,-105.36638042,38.96807256,2409.734,Global,0.011,0.012,0.011,0.016,2.134,m,FIX,2024-07-23 11:12:35.4 UTC-06:00,2024-07-23 11:12:38.4 UTC-06:00,16,1.3,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.828,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,8,5,0
26,,468260.162,4313297.471,2423.717,,-105.36638062,38.96807328,2409.693,Global,0.011,0.013,0.010,0.017,2.134,m,FIX,2024-07-23 11:13:21.0 UTC-06:00,2024-07-23 11:13:24.0 UTC-06:00,16,1.3,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.842,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,8,5,0
27,,468260.104,4313297.665,2423.666,,-105.36638129,38.96807502,2409.641,Global,0.010,0.012,0.010,0.016,2.134,m,FIX,2024-07-23 11:13:37.6 UTC-06:00,2024-07-23 11:13:40.6 UTC-06:00,16,1.3,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.896,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,8,4,0
28,,468260.107,4313297.875,2423.501,,-105.36638127,38.96807692,2409.477,Global,0.011,0.011,0.011,0.015,2.134,m,FIX,2024-07-23 11:13:57.4 UTC-06:00,2024-07-23 11:14:00.4 UTC-06:00,16,1.3,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.901,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,8,4,0
29,,468260.048,4313298.052,2423.532,,-105.36638196,38.96807852,2409.508,Global,0.011,0.010,0.011,0.015,2.134,m,FIX,2024-07-23 11:14:09.8 UTC-06:00,2024-07-23 11:14:12.8 UTC-06:00,16,1.3,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.945,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,7,4,0
30,,468260.034,4313298.239,2423.532,,-105.36638213,38.96808019,2409.508,Global,0.012,0.011,0.011,0.017,2.134,m,FIX,2024-07-23 11:14:18.6 UTC-06:00,2024-07-23 11:14:21.6 UTC-06:00,16,1.3,1.5,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.954,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,7,4,0
31,,468260.039,4313298.451,2423.509,,-105.36638207,38.96808210,2409.485,Global,0.010,0.010,0.010,0.015,2.134,m,FIX,2024-07-23 11:14:29.6 UTC-06:00,2024-07-23 11:14:32.6 UTC-06:00,16,1.4,1.7,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,146.956,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,7,4,0
32,,468259.977,4313298.644,2423.466,,-105.36638280,38.96808384,2409.442,Global,0.011,0.010,0.010,0.015,2.134,m,FIX,2024-07-23 11:15:01.8 UTC-06:00,2024-07-23 11:15:04.8 UTC-06:00,16,1.4,1.7,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,147.005,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,7,4,0
33,,468259.933,4313298.827,2423.472,,-105.36638332,38.96808549,2409.447,Global,0.011,0.010,0.010,0.015,2.134,m,FIX,2024-07-23 11:15:34.2 UTC-06:00,2024-07-23 11:15:37.2 UTC-06:00,16,1.4,1.7,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,147.061,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,7,4,0
34,,468259.930,4313299.015,2423.447,,-105.36638336,38.96808718,2409.422,Global,0.011,0.011,0.011,0.016,2.134,m,FIX,2024-07-23 11:15:50.6 UTC-06:00,2024-07-23 11:15:53.6 UTC-06:00,16,1.4,1.7,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,147.067,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,7,4,0
35,,468259.870,4313299.259,2423.431,,-105.36638407,38.96808938,2409.406,Global,0.011,0.011,0.010,0.015,2.134,m,FIX,2024-07-23 11:16:04.8 UTC-06:00,2024-07-23 11:16:07.8 UTC-06:00,16,1.4,1.7,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,147.110,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,8,4,0
36,,468259.881,4313299.469,2423.417,,-105.36638394,38.96809127,2409.392,Global,0.011,0.011,0.010,0.015,2.134,m,FIX,2024-07-23 11:16:14.0 UTC-06:00,2024-07-23 11:16:17.0 UTC-06:00,16,1.4,1.7,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,147.105,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,9,4,0
37,,468259.810,4313299.641,2423.428,,-105.36638478,38.96809282,2409.404,Global,0.010,0.010,0.012,0.015,2.134,m,FIX,2024-07-23 11:16:22.4 UTC-06:00,2024-07-23 11:16:25.4 UTC-06:00,16,1.4,1.7,468406.801,4313300.605,2429.986,-105.36468810,38.96810683,2415.959,147.174,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,9,4,0
