,index,Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,northing_adj,easting_adj,elevation_adj,geometry
0,0,1,,468388.039,4313370.122,2422.698,,-105.36490788,38.96873258,2408.672,Global,0.01,0.011,0.011,0.015,1.734,m,FIX,RTK,2025-07-11 10:51:48.2 UTC-06:00,2025-07-11 10:52:18.2 UTC-06:00,151,1.0,1.2,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.565,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,4313369.039000001,468389.127,2419.348,POINT Z (468389.127 4313369.039000001 2419.348)
1,1,2,,468388.041,4313370.117,2422.7,,-105.36490786,38.96873254,2408.674,Global,0.011,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-11 10:52:44.6 UTC-06:00,2025-07-11 10:52:47.6 UTC-06:00,16,1.1,1.2,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.556,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,4313369.034,468389.129,2419.35,POINT Z (468389.129 4313369.034 2419.35)
2,2,3,,468388.041,4313370.022,2422.517,,-105.36490786,38.96873168,2408.491,Global,0.01,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-11 10:52:57.4 UTC-06:00,2025-07-11 10:53:00.4 UTC-06:00,16,1.1,1.2,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.475,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,4313368.939,468389.129,2419.167,POINT Z (468389.129 4313368.939 2419.167)
3,3,4,,468387.903,4313370.186,2422.531,,-105.36490946,38.96873315,2408.505,Global,0.01,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-11 10:53:13.2 UTC-06:00,2025-07-11 10:53:16.2 UTC-06:00,16,1.1,1.2,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.668,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,4313369.103,468388.991,2419.181,POINT Z (468388.991 4313369.103 2419.181)
4,4,5,,468388.123,4313370.268,2422.542,,-105.36490692,38.96873389,2408.515,Global,0.01,0.01,0.01,0.014,1.734,m,FIX,RTK,2025-07-11 10:53:23.4 UTC-06:00,2025-07-11 10:53:26.4 UTC-06:00,16,1.1,1.2,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.688,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,4313369.1850000005,468389.211,2419.192,POINT Z (468389.211 4313369.1850000005 2419.192)
5,5,6,,468388.219,4313370.077,2422.548,,-105.3649058,38.96873218,2408.522,Global,0.011,0.011,0.01,0.015,1.734,m,FIX,RTK,2025-07-11 10:53:33.2 UTC-06:00,2025-07-11 10:53:36.2 UTC-06:00,16,1.1,1.2,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.485,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,4313368.994,468389.307,2419.198,POINT Z (468389.307 4313368.994 2419.198)
6,6,7,,468388.041,4313370.117,2422.699,,-105.36490786,38.96873254,2408.673,Global,0.01,0.01,0.01,0.014,1.734,m,FIX,RTK,2025-07-11 10:53:45.8 UTC-06:00,2025-07-11 10:53:48.8 UTC-06:00,16,1.1,1.2,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.555,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,4313369.034,468389.129,2419.349,POINT Z (468389.129 4313369.034 2419.349)
7,7,8,,468387.885,4313370.251,2422.535,,-105.36490967,38.96873373,2408.509,Global,0.01,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-11 10:54:04.8 UTC-06:00,2025-07-11 10:54:07.8 UTC-06:00,16,1.1,1.2,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.731,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,4313369.1680000005,468388.973,2419.185,POINT Z (468388.973 4313369.1680000005 2419.185)
8,8,9,,468387.69,4313370.303,2422.503,,-105.36491192,38.96873419,2408.476,Global,0.01,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-11 10:54:17.0 UTC-06:00,2025-07-11 10:54:20.0 UTC-06:00,16,1.1,1.2,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.838,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,4313369.220000001,468388.778,2419.1530000000002,POINT Z (468388.778 4313369.220000001 2419.1530000000002)
9,9,10,,468387.52,4313370.365,2422.395,,-105.36491389,38.96873475,2408.369,Global,0.012,0.011,0.01,0.016,1.734,m,FIX,RTK,2025-07-11 10:54:32.0 UTC-06:00,2025-07-11 10:54:35.0 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,72.948,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,4313369.282000001,468388.608,2419.045,POINT Z (468388.608 4313369.282000001 2419.045)
