siteID,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,Na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,flagBr,Br,svol,ppt,subppt,valcode,invalcode,modifiedOn
CO21,NA0077OW,"1978-10-17 16:00","1978-10-24 15:00",197810,5.590,3.700," ",.090," ",.017," ",.016," ",.305,<,.030," ",.200," ",.100," ",.300,0,-9,855.000,18.290,18.290,"w ","            ",1985-06-04
CO21,NA0092OW,"1978-10-24 16:00","1978-10-31 16:00",197810,6.230,22.200," ",.770," ",.141," ",.141," ",.869," ",1.450," ",3.820," ",.330," ",3.800,0,-9,76.000,4.320,4.320,"w ","            ",1985-06-04
CO21,NA0120OW,"1978-10-31 16:00","1978-11-07 16:00",197811,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,<,-9.000," ",-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1987-01-19
CO21,NA0136OW,"1978-11-07 16:00","1978-11-14 16:00",197811,5.820,6.100," ",.310," ",.095," ",.130," ",.414,<,.020," ",.150," ",.190," ",1.000,0,-9,53.000,-7.000,.127,"w ","            ",1985-06-04
CO21,NA0162OW,"1978-11-14 16:00","1978-11-21 16:00",197811,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA0179OW,"1978-11-21 16:00","1978-11-28 16:00",197811,5.970,3.400," ",.110," ",.029," ",.077," ",.092,<,.020," ",.030," ",.130," ",.180,0,-9,296.000,6.100,6.100,"w ","            ",1985-06-04
CO21,NA0193OW,"1978-11-28 16:00","1978-12-05 16:00",197812,5.310,4.300," ",.070," ",.010," ",.023," ",.022," ",.100," ",.500," ",.100," ",.250,0,-9,154.000,7.870,7.870,"w ","            ",1995-01-30
CO21,NA0216OW,"1978-12-05 16:00","1978-12-12 16:00",197812,4.780,9.700," ",.240," ",.063," ",.064," ",.222,<,.020," ",1.300," ",.250," ",.850,0,-9,184.000,6.860,6.860,"w ","            ",1985-06-04
CO21,NA0237OW,"1978-12-12 16:00","1978-12-19 16:00",197812,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",1986-02-01
CO21,NA0273OW,"1978-12-19 16:00","1979-01-02 16:00",197812,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,0,-9,.000,-7.000,.127,"t ","            ",1989-06-13
CO21,NA0299OW,"1979-01-02 16:00","1979-01-09 16:00",197901,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA0312OW,"1979-01-09 16:00","1979-01-16 16:00",197901,5.130,14.100," ",.330," ",.101," ",.101," ",.408," ",.130," ",.650," ",.750," ",1.960,0,-9,25.600,2.540,2.540,wa,"            ",1985-06-04
CO21,NA0327OW,"1979-01-16 16:00","1979-01-23 16:00",197901,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,-7.000,.127,"t ","            ",1986-02-01
CO21,NA0365OW,"1979-01-23 16:00","1979-01-30 16:00",197901,4.330,23.800," ",.200," ",.040," ",.061," ",.388," ",.120," ",4.400," ",.250," ",.900,0,-9,118.000,6.860,6.860,"w ","            ",1985-06-04
CO21,NA0376OW,"1979-01-30 16:00","1979-02-06 16:00",197902,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,<,-9.000," ",-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1988-06-13
